lineCap,round
lineWidth,3
moveTo,119,48
lineTo,120,48
lineTo,120,50
lineTo,122,51
lineTo,123,52
lineTo,125,54
lineTo,126,56
lineTo,127,56
lineTo,128,57
lineTo,130,58
lineTo,131,59
lineTo,131,60
moveTo,117,93
lineTo,118,92
lineTo,119,91
lineTo,122,91
lineTo,124,89
lineTo,126,88
lineTo,129,88
lineTo,131,88
lineTo,133,88
lineTo,135,88
lineTo,137,88
lineTo,138,88
lineTo,139,88
lineTo,140,89
lineTo,141,92
lineTo,142,95
lineTo,142,98
lineTo,142,102
lineTo,142,106
lineTo,142,111
lineTo,140,114
lineTo,138,120
lineTo,136,124
lineTo,134,126
lineTo,132,128
lineTo,130,130
lineTo,128,132
lineTo,126,134
lineTo,123,135
