lineCap,round
lineWidth,3
moveTo,96,36
lineTo,97,36
lineTo,98,36
lineTo,98,35
lineTo,99,35
lineTo,115,37
lineTo,117,37
lineTo,119,38
lineTo,121,39
lineTo,122,39
lineTo,123,39
moveTo,81,73
lineTo,82,73
lineTo,83,73
lineTo,86,73
lineTo,89,73
lineTo,93,73
lineTo,95,73
lineTo,99,73
lineTo,101,73
lineTo,107,73
lineTo,109,73
lineTo,114,73
lineTo,121,73
lineTo,122,73
lineTo,129,73
lineTo,131,73
lineTo,137,74
lineTo,139,75
lineTo,144,76
lineTo,147,76
lineTo,150,77
lineTo,150,78
lineTo,152,80
lineTo,152,83
lineTo,152,84
lineTo,151,89
lineTo,149,95
lineTo,147,100
lineTo,144,104
lineTo,143,106
lineTo,139,112
lineTo,138,113
lineTo,132,119
lineTo,130,120
lineTo,123,125
lineTo,121,126
lineTo,116,130
lineTo,113,131
lineTo,107,134
lineTo,104,135
