lineCap,round
lineWidth,3
moveTo,48,65
lineTo,49,63
lineTo,53,61
lineTo,54,60
lineTo,58,58
lineTo,60,58
lineTo,66,57
lineTo,68,57
lineTo,83,59
lineTo,91,60
lineTo,106,62
lineTo,126,65
lineTo,134,67
lineTo,151,68
lineTo,163,69
lineTo,166,69
lineTo,167,69
moveTo,100,26
lineTo,100,27
lineTo,101,28
lineTo,101,29
lineTo,101,31
lineTo,101,32
lineTo,99,36
lineTo,98,38
lineTo,93,45
lineTo,91,49
lineTo,87,55
lineTo,84,58
lineTo,80,64
lineTo,80,66
lineTo,76,72
lineTo,72,82
lineTo,72,84
lineTo,72,90
lineTo,72,91
lineTo,72,96
lineTo,72,99
lineTo,72,106
lineTo,73,108
lineTo,74,114
lineTo,75,116
lineTo,77,122
lineTo,77,124
lineTo,78,126
lineTo,78,127
lineTo,79,132
lineTo,80,133
lineTo,80,134
lineTo,80,135
moveTo,113,80
lineTo,111,80
lineTo,109,82
lineTo,106,84
lineTo,104,85
lineTo,101,88
lineTo,100,89
lineTo,95,93
lineTo,93,95
lineTo,88,98
lineTo,86,100
lineTo,82,103
lineTo,77,106
lineTo,71,110
lineTo,68,112
lineTo,64,115
lineTo,62,115
lineTo,59,117
lineTo,57,118
lineTo,51,122
lineTo,44,126
lineTo,44,127
lineTo,43,127
lineTo,42,127
lineTo,41,127
lineTo,41,126
lineTo,41,125
lineTo,40,125
lineTo,40,122
lineTo,40,121
lineTo,40,118
lineTo,40,116
lineTo,40,111
lineTo,42,105
lineTo,43,103
lineTo,45,96
lineTo,47,82
lineTo,48,81
lineTo,49,81
lineTo,53,81
lineTo,55,81
lineTo,59,81
lineTo,62,81
lineTo,66,81
lineTo,74,83
lineTo,76,83
lineTo,81,84
lineTo,83,85
lineTo,86,86
lineTo,86,87
lineTo,88,88
lineTo,92,93
lineTo,93,95
lineTo,98,99
lineTo,99,102
lineTo,104,107
lineTo,105,109
lineTo,109,113
lineTo,110,115
lineTo,114,120
lineTo,114,122
lineTo,116,128
lineTo,117,132
lineTo,117,135
lineTo,116,136
lineTo,115,137
